,1,2,3,4,5,6,7,8
1,97,3,3,9,0,0,0,0
2,2,102,0,0,0,0,6,2
3,1,1,94,15,0,0,0,0
4,0,0,20,92,0,0,0,0
5,1,0,0,1,94,16,0,0
6,1,0,0,1,21,88,1,0
7,5,12,0,0,0,0,87,8
8,3,7,1,1,0,0,14,86
